c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C(=C\C=C\C=C\CNCCOCCOCCNC/C=C/c1c(ccc(c1)Cl)N)\C	Clc1ccc2[nH]c(cc2c1)C(=O)NCCOCCOCCNC(=O)c1cc2cc(Cl)ccc2[nH]1	NC(=O)c1cccc(CCcCCCCCCCcccccccccccccccccccccccccccccccccccccccc
C(=C\C1=CC[C@@H](CC1)CO)/C(=C\C=C)/Cl	OC(=O)[C@@H]1CCc2c(C1)[nH]c1ccc(Cl)cc21	OC(=O)C1CC[C@H]2[C@H](Cc2c1cc(O)c(Cl)cc12)C(=O)O
C=N/C(=C\C=C\C(=O)NCC1=NN/C(=C\C)/C(=N1)NCN/N=C(\C)/CC)/F	Fc1ccc(cn1)C(=O)NCc1nc(Nc2cc(n[nH]2)C2CC2)c2cccn2n1	Cc1nc(nc(NCCNcnccccccccccccccccccccccccccccccccccccc
C(NCO)C(C)/C(=C/C=C)/C=C/OCC	CCCOc1cc(ccc1OC)C1(C)CNC(=O)O1	CCCCOc1ccc(ccccccccCccCc)Cc)Cc)
c1ccc(cc1)CC(=C)N(COCC)C(=O)N	CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O	CC[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1
NC(=O)/C(=C/C=C/NCCC(=C)NC)/C	CN(C)c1ccccc1CNc1ccc(cn1)C(=O)N	CN(C)Cc1cccccccccccccccccccccccccc
C/C(=C(/C)\CC)/NC/C(=C\C)/C(=O)O	Cc1cccc(Nc2ccccc2C(=O)O)c1C	OC(=O)c1cc(ccc1O)c1cccc(Cl)c1
C(#Cc1c(=O)[nH]c(=O)n(c1)C1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)C)C	CCCCCC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)[nH]c1=O	CCCCOc1cc(cn(CCCC(OC(CC[C@@H]12)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O
C(=C(\N)/C(=C/CC(=O)NCCc1ccccc1)/N)\CC(=O)O	OC(=O)c1ccnc(c1)c1cc(ccn1)C(=O)NCCc1ccccc1	NC(=O)c1cccc(c1cccccccccccccccccccccccccccccccc
C=C/C=C\C=C\C(=C(/C(=O)NC)\C=C(\c1ccccc1)/C)\C	Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)c1ccccc1	NC(=O)c1cccc(c1)c1ccccccccccccccccccccccccccccccc
C(=C\C=C(\C)/CCCNC(=O)[C@@H]([C@@H]([C@@H](O)C/C=C/CC)O)OC)\C	CO[C@H]([C@H](O)[C@@H](O)[C@H](O)/C=C/C(C)(C)C)C(=O)NC1Cc2ccccc2C1	OC[C@H]1O[C@@H](NC(=O)CCc2ccc3[nH]c(=O)[C@@H](O)[C@H](O)[C@H]2O)cc1
c1(CC)nc(on1)CCCNC(=O)NC1C[C@@H]1c1ccccc1	CC(C)c1noc(n1)C1CCN(CC1)C(=O)N[C@H]1C[C@@H]1c1ccccc1	CC(C)CCCCCCCCCCCCCCCCCCCCCcCcccccccccccccccccccccccccccccc
c1csc(n1)c1n(c2cc3nc(nc(c3cc2)N)N)c2c(n1)cc(c(c2)O)O	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC	Nc1ncnc2c(cnc(c3ccc(cc3c12)c1ccccc1)c1cccccccccccccccccc)c)
C(NC(=O)c1cc(ccc1)N(=O)O)N(CCCO)C/C(=C\COC(=O)C(C)(C)C)/N	CC(C)(C)C(=O)Oc1ccc2n(CCCO)c(NC(=O)c3cccc(c3)[N+](=O)[O-])nc2c1	CC(C)CCC(CCCCCCCCCCCCCCCCcCcccccccC()cccccccccccccccccccccc)))O))O)O)O
c1(ccccc1)COCCCO/C=C/C=C(\C=C)/NC(=O)CNCCCOc1cc2NCCCc2cc1	COc1ccccc1COCCCOc1ccc(cc1)N1[C@H](COc2ccc3CCCNc3c2)CNCC1=O	OC(=O)c1cccc(CCcCcCCCCCCCccccccccccccccccccccccccccccccccccccccccccc
N(C)(CCNC)c1cc(c(cc1)CN(C1CCC1)S(=O)c1ccccc1)F	CC(=O)N1CCN(CC1)c1ccc(CN(C2CCC2)S(=O)(=O)c2ccccc2)c(F)c1	CN1CCN(CC1)C(=O)CC1CcCc(Cc(Ccc(Ccccccccccccccccccccccccccccccccc
C=C(C)COC(Cn1ccnc1)/C(=C/C=C(/Cl)\C)/CCl	Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1	Clc1ccc(Cl)cccCCCCCccccccccccccccccccc
CNCCN(c1c(cncc1)NC(=O)C/N=C(\SC)/N1C/C(=C/C)/C(=C)C1=O)C	COc1ccc2CN(C(=O)c2c1)c1nc(cs1)C(=O)Nc1cnccc1N1CCNCC1	CC(C)(C)c1cccccccccccccccccccccccccccccccccccc)c)c)c)cc)c)cC
c12c3c(cccc3[nH]c2)CC[C@@H](CSC)CN(C)CC1	CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13	C[C@]1(CCCNC[C@H]2C[C@H](CCc22c2ccccc2)[C@H](C)c1cccccccc
NC(=O)/C=N/N/C=C/NCC/C=C\C=C\C=C\NC	Cn1cc(cn1)c1cccc(n1)C(=O)Nc1cn(C)nc1C(=O)N	CN(C)c1ccccccccccccccccccccccccccccccccc
C(=O)([C@@H]([C@H](O)CSCCCC(=O)O)O)N	N[C@@H](CCSC[C@@H](O)[C@@H](O)C(=O)NO)C(=O)O	N[C@@H](CCSC[C@H](O)[C@@H](O)C(=O)O)C(=O)O
FC(F)/C(=C/C(=C)C(=O)Nc1cc(c(cc1)C)NCC(=C)c1ccncn1)/C=C	Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc1ncccc1c1ccncn1	FC(F)(F)c1cccc(c1)c1ccc(Nc2ccc(cn2)C(F)(F)F)cc1c1ccc(F)cc1
C(C)OC(=C)/C(=c\1/ccccc1=C)/C(=C)/C=C\C(=C\N=C\N)\C	CCOc1ccc2ccccc2c1c1cc2nc(N)nc(N)c2cc1C	CC(C)c1ccccccccccccccccccccccccccccccccccccccc
c1cccc(Cl)c1C(=O)NC(C=O)CC	CCC(NC(=O)c1cccc(c1Cl)C(F)(F)F)C=O	OC(=O)C1CCN(Cc2cccc(c2)C1)C(=O)O
C(OP(=O)O)[C@H]([C@@H](O)C=O)O	ONC(=O)[C@H](O)[C@H](O)COP(=O)(O)O	O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
C(C/C=C(/C=C\C)\CNCCCCCCCCCCNC1c2c(CCC1)[nH]c(=O)cc2)C	O=c1ccc2[C@H](CCCc2[nH]1)NCCCCCCCCCCN[C@H]1CCCc2[nH]c(=O)ccc12	O=c1ccc2[C@H](CCCc2[nH]1)NCCCCCCCCCCCCCCCCCCCCCCCCCCCCCccccccccccccc
C/C=C\C=C/CCN1CCN(CC1)N=CC(=C)/C=N\Nc1ccccc1	Cc1nn(c(C)c1C=NN1CCN(Cc2ccccc2)CC1)c1ccccc1	Cc1ccccccccccccccccccccccccccccccccccccccccccccccc
C[C@H](N=C(N)N)[C@@H](NC)[C@H](CCCO)OCC=O	CC(=O)N[C@@H]1[C@H](C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(=O)O)N=C(N)N	NC(=O)[C@H]1CC[C@H]([C@@H](OC(=O)O)[C@@H](O)[C@@H]1O
CCC(/C(=C/C)/C=C)CCNC(=C)/N=C\CCN	NC(=O)c1ccc(NC2CCC(C2)c2ccccc2)nc1	NCC1CN(CC1)c1ccccccccccccccccccccccccc
N(CC)(CC(=C)C(=O)Nc1cccc(c1)C)C(=S)Nc1cc(ccc1)OC	COc1cccc(NC(=S)N(CCO)Cc2cc3cc(C)c(C)cc3[nH]c2=O)c1	COc1ccc(cc1)c1ccccccccccccccccccccccccccccccccccccccc)))
C1CC(CCN1)CN/C=N/C=N\CNC(=N)/C=N\C	N#Cc1cnc(Nc2cc(NCC3CCNCC3)ncn2)cn1	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCCNC(=O)C
C(Cl)/C(=C\C=C(\Nc1c2ncn(c2nc(n1)N[C@@H](CO)C)C(C)C)/C)/C(=O)O	CC(C)[C@H](CO)Nc1nc(Nc2ccc(C(=O)O)c(Cl)c2)c2ncn(C(C)C)c2n1	CC(C)C[C@H](CO)Nc1cc(nc(N)n1)c1ccc2c(c1)[nH]c1=O)CC(=O)O
C([C@@H](N)CCC)Nc1ccn2ncc(c2n1)CN/C(=C/NC)/CCF	Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(n1)C(F)(F)F	C[C@@H]1CCCN(C1)C(=O)c1cnc2c(Nc3cc(F)ccc3F)c(F)cc21
CCC(C(=O)O)NC(=O)N[C@@H](CCCCNC(=O)c1ccccc1)CO	CSCC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC(=O)O)C(=O)O
c1cc(cc(c1)CC(C(=O)O)NCN[C@H](C(=O)O)CC)I	OC(=O)CC[C@H](NC(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)C(=O)O)C(=O)N[C@@H](CCCC#N
C(/C=c\1/[nH]c(c(c1=C)CCCOc1ccc(cc1)Cl)C=O)Cl	Cc1cc(OCCCc2c([nH]c3cc(Cl)ccc23)C(=O)O)cc(C)c1Cl	OC(=O)c1ccc(cccccccccccccccccccccccccccccccccccc
C(#N)/C(=C/C=C/NCCN(C)Cc1c(CC/C(=C/C=C\C)/C)ccc(c1)Cl)/C	C[C@@H]1CN(CCN1c1ccc(cn1)C#N)c1nnc(Cc2ccccc2)c2ccc(Cl)cc12	CN1CCN(CC1)C(=O)c1cccccccccccccccccccccccccccccccccccccccccc
CCN/N=C/C/C(=C/C)/C=C(/Br)\COC/C=C(/C)\C=C\C#N	Cc1cc(Oc2ccc(Cc3n[nH]c4nnccc34)cc2Br)cc(c1)C#N	CN(CCCcCccccccccccccccccccccccccccccccccccccc)
CN1C(=O)N(C)c2c(C1)c(c(c(n2)N)C)c1ccccc1Br	Cn1c2nc(N)c(CN)c(c3ccccc3Br)c2c(=O)n(C)c1=O	CN1c2nc(c3cccc(c3)C(=O)NC(=O)c3ccc(ccc2()O)cc1)C
C(NCc1c(nc(n1CCOC/C=C\CCl)c1ccc(cc1)P(=O)(O)O)N)NC	CNc1nc2nc(c3ccc(cc3)P(=O)(O)O)n(CCOc3ccc(Cl)cc3)c2c(=O)[nH]1	CN1CC2=C(CC1)(C2)c2cc(OCCCN(CCCOP(=O)(O)O)ccc2n1Cc1ccccc1
C(O)CNC(=O)CNCCN/C=C/C=N\CNc1sc(cn1)c1cnccc1	O=C(CN1CCN(CC1)c1ccnc(Nc2ncc(s2)c2cccnc2)c1)N1CCOCC1	O=C(Nc1cccnc1)c1ccc(NC(N)(CCC)CCCCcCcccccccccccccc
CN(N)/C=C/C(=C(/N(C)CCn1cc(C)nn1)\C/C=C\C=C/C)/N	Cc1cn(CCn2cnc(c3cnn(C)c3)c2c2ccc(cc2)C#N)nn1	Cc1nc(ncc(n1)cccccccccccccccccccccccccccccccccccc
c1(cc(cs1)CCCC/C/1=C/CC(=O)N/C(=N\CN1)/N)C(=O)N[C@H](C(=O)O)CC	Nc1nc2[nH]c(CCCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	OC(=O)C[C@H](CNC(=O)c1cc(ccc1OC)C(=O)N[C@@H](CCC(=O)(C)C)CcCcCcccccccc
CN(N)Cc1c(CCC(=O)N/C=C/C=C\C/C(=C\O)/C)cccc1	Cn1nc(CC(=O)Nc2ccc3oc4CCCCc4c3c2)c2ccccc2c1=O	NC(=O)c1ccc(NC(=O)CC(c((ccccccccccccccccccccccccccccccccc
CC(C)OC(=C)/C=C\Cn1c(C=O)cc2c1ccc(c2)/C=C/C=C(/CC)\C=C	CC(C)Oc1ccc(cc1)n1c(cc2cc(ccc12)c1ccc(cc1)C(C)(C)C)C(=O)O	CC(C)c1cccccccccccccccccccccccccccccccccccccccccccccccc
C1N(c2ncc(cc2)CC)CCN(C1)/C(=N/N=C/Cc1ccccc1)/C(=C)C=C	CC(C)(O)c1ccc(nc1)N1CCN(CC1)c1nnc(Cc2ccccc2)c2ccccc12	CC(C)c(1ccccccccccccccccccccccccccccccccccccccccccccccc
C(=C(\N)/c1sccc1)\C=C\C(=C\C(=O)Nc1ccccc1)\N	Nc1c(sc2nc(ccc12)c1cccs1)C(=O)Nc1cccc(F)c1	NC(=O)c1ccccccccccccccccccccccccccccccccccccccc
C(C)N(C)CCN(c1nc(C)nc(c1)Nc1ncc(s1)C(=O)Nc1ccccc1)C	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	CC(C)(C)c1ccc(cccccccccccccccccccccccccccccccccccc)c)c)c)cc)c)
C(N)NC(=O)c1nc(CNc2ccccc2)cnc1	Nc1nc2ncc(CNc3ccc(cc3)C(=O)O)nc2c(=O)[nH]1	NCC1CN(CCO1)c1c(cnc2[nH]ncc12)c1ccccc1
F/C(=C(/C(=C\CF)/CNC(=O)c1ccc(cc1)S(=O)=O)\F)/C	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)c(F)c(F)c(F)c1F	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1c(F)c(F)c(F)c(F)c1F
CC(=C)/N=C(/C)\COc1ccnc(Nc2ccc(S)cc2)c1	Cc1ccc(Oc2ccnc(Nc3ccc(cc3)S(=O)(=O)N)c2)c(C)n1	NC(=O)c1ccccc1ccccccccccccccccccccccccccccccc
Clc1cc2c(cc(c3c(O)c(ccc3)c3ccccc3)[nH]2)cc1	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(c2ccccc2)c1O	NC(=O)c1ccc(ccccccccccccccccccccccccccccccccccccccccc
C/N=C\C(=C\NC(C)C[C@H](O)C)\N	Nc1ncnc2n(cnc12)[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O	CC[C@H]1C[C@H][C@@H](O)[C@@H]1O)n1ccnc2c(
C(=O)(O)CCCSCC1O[C@H](C[C@@H]1O)N1C=C(/C(=C/N)/C1=N)Br	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc(Br)c2c(N)ncnc12)C(=O)O	N[C@@H]1CC[C@@H](CCC@CCCC@C(OC(()CC@OC()Oc)c)c)c)c)c)c)c)c)c)c)
N(=C\C(=C)/C(=C/C(=N)N1C[C@@H]([C@H](C1)c1c(F)cc(c(c1)F)F)N)/N)\C=C	COc1ccc(cn1)c1cc(ncn1)N1C[C@H](N)[C@H](C1)c1cc(F)c(F)cc1F	N[C@@H](Cn1cncn1)c1cc(nc(N)n1)c1ccc2c(N)(F)ccc(c2(F)F)cc1
C1N(C)/C(=C/CCN/C=C\C)/C(=C)C(=C1)C	Cc1cc2n[nH]c(=O)n2c2cc(ccc12)c1ccc[nH]1	CC1=CC(C1)NC(=O)c1cccc2ccccccccc
O=N/C=C/CNC/N=C\C=C(/N)\c1c(ncs1)C	Cc1nc(C)c(s1)c1ccnc(Nc2cccc(c2)[N+](=O)[O-])n1	CC(=O)c1ccccccccccccccccccccccccccc
N(=C\CCC(=O)NC(c1ccc(cc1)n1cncc1)C)/CC(=C)CN	CC(NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccc(cc1)n1ccnc1	Cc1cccc(cn1)C(=O)NCC(=O)Nc1cncc(c1)c1ccccc1
C1O/C(=C\[C@@H]2CCN(C[C@]2(O)CCC1NC(=O)/C=C\C)C)/C(=C\C=C)/O	CN1CC[C@@]23[C@H]4Oc5c2c(C[C@@H]1[C@]3(O)CCC4NC(=O)/C=C\C(=O)O)ccc5O	OC(=O)c1ccc(OC[C@H](CCC(=O)NCCCCCCCCCCCcC()cc()OC()OC()OCc)OOO)O)OO)OO
C/C=C\C=C/CCCC(=O)NC(=O)NC	OCCOCn1cc(Cc2ccccc2)c(=O)[nH]c1=O	CC[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1
Cc1c(c(cc(c1)OCCCCC/C(=C\C=C/C)/SCC)C)Cl	Cc1cc(OCCCc2c(sc3ccccc23)C(=O)O)cc(C)c1Cl	CC(C)c1c(C(=O)O)c2cc(Cl)ccc2C(=O)c1c1c(Cl)cccc1Cl
c1c(nccc1)CCCCCOC1[C@@H](CNC1)CC/N=C(\C=C)/N	Cc1cc(N)nc(C[C@@H]2CNC[C@@H]2OCCCCCc2ccccn2)c1	Nc1nc2[nH]c(CCCCCCCCCCCCCCCCCCCCCCCccccccccccccccccccc
O=CN/C(=C/C)/C(=C\CN(C)Cc1cccnc1)/C(=O)O	CCC(=O)Nc1ccc(cc1C(=O)O)N(C)Cc1cccnc1	CC(=O)c1cccccccccccccccccccccccccccccccccc)
C(=N)(NCCCC(O)C)/C(=N\C)/OC/C=C\CN/C=N/c1c(S)cccc1	CC(O)C1CCN(CC1)c1nccnc1Oc1ccc(Nc2nc3ccccc3s2)cc1	Nc1nc2nc(CC3C(=O)c3cnc(C)c(Cc3cCC(ccccCCcc)c)cc)ccccccccccc
Brc1cnc2c(cn[nH]2)c1N1CCOCC1	NCC1CN(CCO1)c1c(Br)cnc2[nH]ncc12	NC(=O)c1ccc(Cccccccccccccccccccccccccc
O=P(C(O)(C/C=C/C=C\C/C=C/C=C\CNSc1cc2c(cc1)cccc2)P(=O)O)(O)O	OC(Cc1cccc(c1)c1cccc(NS(=O)(=O)c2ccc3ccccc3c2)c1)(P(=O)(O)O)P(=O)(O)O	OC(Cc1cccc(c1)c1ccccc1)c1cccccc()cccc))()O)(O)O)O)O)O)OO)O
c1c2c(ccc1)c(=O)n(C)nc2CC(=O)NC/C=c/1\c(=C)oc(C)c1	Cn1nc(CC(=O)Nc2ccc3oc4CCCCc4c3c2)c2ccccc2c1=O	CC(C)c1cccccccccccccccccccccccccccccccccccccccccccccccccc
C1[C@H]([C@H](C(=O)NC2(CC2)C#N)CCC1)CN(C)CCNC(=C)/C=C\CF	Fc1ccc(cc1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N	FC(F)(F)[C@H]1CCCN(C1)C(=O)[C@@H]1CCCN1C(=O)[C@@H](C)C#N
OC(=O)CCC(C=O)NC(=O)N[C@H](C)Cc1cccc(I)c1	OC(=O)CC[C@H](NC(=O)N[C@@H](Cc1ccc(O)c(I)c1)C(=O)O)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC(C)C)C(=O)O
OCC[C@@H](CO)CN(CCCC/C=C\C=C)C	OC[C@H]1CN(CCCc2ccccc2)C[C@@H](O)[C@@H]1O	OC(=O)[C@H]1CC[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
C=c1cccc/c/1=C/CNCC(=O)NC[C@@H]([C@H]([C@H](O)C)O)O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O
O=C(O)CCCCN(CC1=NC(=C(N)N)CN=C1)c1ccc(cc1)C(=O)NC(C(=O)O)CCC(=O)O	Nc1nc(N)c2nc(CN(CCCCC(=O)O)c3ccc(cc3)C(=O)NC(CCC(=O)O)C(=O)O)cnc2n1	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1)c1ccccn1
C=C(CCC)N(Cc1cc(C(=O)N)ccc1)/C(=C(\CO)/C=C\C)/C	NC(=O)c1cccc(Cn2c3CCCCCc3c3cccc(C(=O)O)c23)c1	CC(C)c1ccccccccccccccccccccccccccccccccccccccccccc
O=S(=O)(N)C/C=C\C(=C/C)\C(=C\C)\C=C	Cc1ccccc1c1ccc(cc1)S(=O)(=O)N	NS(=O)(=O)c1ccc(cc1)c1cccc(c1)C(F)(F)F
C(=O)(OC(C)C)N[C@H](C)C1CCCCC1	CC(C)(C)OC(=O)N[C@H](C=O)C1CCCCC1	CC(C)(C)C[C@H]1CC[C@H](C)CNC(=O)OC(C)C
c1cccc(c1)C(COc1cc[nH]c(=O)[nH]ccc1)NC(=O)c1cccn(Cc2ccccc2)c1=O	Fc1ccc(Cn2cccc(C(=O)NC(COc3ccc4[nH]c(=O)[nH]c4c3)c3ccccc3)c2=O)cc1F	OC(=O)c1cccc(cccccccccccccccccccccccccccccccccccccccccccccccccccc
C(OCC/C(=C\1/C(=NNC1)C/C=C(\C=C)/C#N)/N1CC(OCC1)CN)C	CCOC(=O)c1cnc2[nH]nc(c3cccc(c3)C#N)c2c1N1CCOC(CN)C1	NC(=O)c1ccc(OCCCn2c(CN3CCOCC3)c(C#N)c2c(=O)n(C)c1=O
C(c1c(nc(nc1)NC/C=C\C(=C/C)\N)NCc1c(nccc1)NS(=O)(=O)C)(F)(F)F	CN(c1ncccc1CNc1nc(Nc2ccc3NC(=O)Cc3c2)ncc1C(F)(F)F)S(=O)(=O)C	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C
C(C)N1CCN(CC1)C/C=C/C=C(\C)/C=C/c1cncnc1NC/C(=C/C=C\C)/C	CCN1CCN(Cc2ccc(cc2)c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1	CC(C)CC(CCCCcC1ccccccccccccccccccccccccccccccccccccccccccc
C1c2ccccc2CC1N1CCCC(C1)CN(C(=O)c1c(O)c2c(c(c1)N=O)cccn2)CCO	COCCN(CC1CCCN(C1)C1Cc2ccccc2C1)C(=O)c1cc([N+](=O)[O-])c2cccnc2c1O	OC(=O)c1cccc(CCcCcC(CCCCCCCCCcccccccccccccccccccccccccccccccccccccccc
c1cc(ccc1C(=O)NCCO)N(CCOC)C(=N)C(=C)NCc1ccc(Cl)cc1	COCCNC(=O)c1ccc2n(CCOC)c(nc2c1)c1cnc([nH]1)c1ccc(Cl)cc1	COCCN(CC1CCCN(C1)C(=O)c1ccc(cc1)c1ccccccccccccccccccccccccc))))c))c)
c1cc(F)cc(c1)/C(=C\C=C\c1ccc(cc1)S(=O)C)/C	CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c1ccc(cc1)S(=O)C	NS(=O)(=O)c1ccc(cc1)c1ccc(c(F)c1)C(F)(F)F
OCC[C@@H](CC/C(=C/CO)/C(=C(\C)/Cl)/O)O	COc1cc(Cl)c(O)c(c1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(Cl)cc1O
C(C=CC(=O)C/C=C\C(=C/C)\NC)(C)C=CC=O	CC(C=CC(=O)NO)C=C(C)C(=O)c1ccc(cc1)N(C)C	NC(=O)c1cccc(C=O)cc1c1ccc(cc1cccccccc
c1c(cccc1)NC(=O)OC(C)C(=N)Nc1ccccc1	CC(OC(=O)Nc1ccc(Cl)c(Cl)c1)c1nc2ccccc2[nH]1	CC(=O)c1cccccccccccccccccccccccccccccccccc
c1cc(ccc1NCCNC(=O)[C@H](CC1CCCCC1)N/C=N/CC)OC	COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)Nc2nc3ccccc3o2)cc1	O=C(Nc1ccc(cn1)C(=O)N[C@H]1CCCN1C(=O)[C@H]1CCCC1)NCC1=N
CC1[C@@H](OP(=O)(O)O)C[C@H](n2c(=O)nc(N)cc2)O1	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1	Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
NC/N=C(/C)\C(=C\N)\C(=C\C)\C	CCc1nc(N)nc(N)c1c1ccc(Cl)cc1	Cc1nc(c(n1)c1ccccc1c1ccccc1ccccc
N1(N=C(N2C(COCC2)C(=C)/C=C\C=C)C=CC1)C/C(=C/C=C(\C)/C#N)/C	Fc1cccc(c1)C1COCCN1c1ccc2ncc(c3ccc(cc3)C#N)n2n1	NC(=N)c1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)Nc1ccccc1Cl
[C@@H]1([C@H](n2cnc(c2N)/C(=N\C)/N)O[C@@H]([C@H]1O)CSCCC)O	CNc1ncnc2n(cnc12)[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	Nc1ncnc2n(cnc12)[C@@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cnc2c(N)ncnc
Nc1nc(cs1)C(=C)/C=C(/C)\NCCOCC	Cc1cc(c(C)n1CC1CCCO1)c1csc(N)n1	CC(C)(C)c1ccccccccccccccccccccccccc
C/C=C\C=C(/C)\CNCc1ccc(cc1)SN	NS(=O)(=O)c1ccc(cc1)C(=O)NCc1ccccc1	NS(=O)(=O)c1ccc(cc1)c1ccccccccccccccc
N(=C\Nc1nc(nc(c1)CN(CC)C)NC1CCN(C=O)C1)/c1c(nccc1)S	C=CC(=O)N1CC[C@@H](C1)Nc1nc(CN2CCOCC2)cc(Nc2nc3cccnc3s2)n1	CN1CCN(CC1)c1ccc(Cc(Ccccccccccccccccccccccccc)c)c)c)cncCcCc
O=C1N(c2cc(C(F)(F)F)ccc2)C(=C[C@H](N1)c1ccc(cc1)C)CNNC=O	CN1CC2=C([C@H](NC(=O)N2c2cccc(c2)C(F)(F)F)c2ccc(cc2)C#N)C(=O)N1	CC(=O)N1CCN(C[C@@H](N)C(=O)c1ccc(cccccccccccccccccccccccccccc)c)
CCCC1CCCNC/C=C\C[C@]1(CCC)N	CC1=C[C@H]2Cc3[nH]c(=O)ccc3[C@]3(C1)NCCC[C@H]23	CC[C@H]1CC[C@H]C(=C)[C@@H](CC(=O)c2cCcC2(C)ccCc
c1(ccccc1)[C@H](C(=O)N1CCC(CC1)C(=O)/C=C/C)NC(=O)c1cccc(C)c1	NC(=N)c1cccc(c1)C(=O)N[C@@H](C(=O)N1CCC(CC1)C(=O)c1ccccc1)c1ccccc1	CC(C)c1cccc(c1cCcCcCCCCCCCCCCCCCCccccccccccccccccccccccccccccccc
c1(ccc2c(c1)cc(n2c1ccccc1)CO)c1ccc(cc1)C(C)(C)C	CC(C)Oc1ccc(cc1)n1c(cc2cc(ccc12)c1ccc(cc1)C(C)(C)C)C(=O)O	CC(C)c1cc(c(C)cc1c1ccc2c(ccccccccccccccccccccccccccccccc
O(CC)C(=O)NCCNC(=O)/C(=C/N=C)/N=C/N=C(\NC=O)/N	Nc1nc2nc(cnc2c(=O)[nH]1)C(=O)NCCNC(=O)OCc1ccccc1	CC(C)(C)C(CCcCcCcCccccccccccccccC)CC)CC)c()cc)c))cC
C(=C\C=C\OC(=C)/C=C\CCCCCC)\C=C	CCCCCc1ccc(Oc2ccccc2)c(O)c1	CCCCCCc1ccc(Oc2ccccc2)c(O)c1
