c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1ccc2ccccc2c1c1ccc(cc1)C(=O)c
N(c1ccccc1)C(=N)/C(=N/C=N)/C(=C/NC)/N=C/N1CCNCC1	Cc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1	CN1CCN(CC1)c1cc(Nc2cc(C)n[nH]2)nc(n1)c1ccccc1
C/C(=C\C=C(\Oc1ccccc1)/C)/CCCCC	CCCCCCCCc1ccc(Oc2ccccc2)c(O)c1	CCCCCCc1ccc(Oc2ccccc2)c(O)c1
N(CCC)(c1ncc(c(=O)n1C/C(=C/C)/CC)Br)C	N[C@@H]1CCCN(C1)c1ncc(Br)c(=O)n1Cc1ccccc1C#N	CC1=CC(C)(C)Nc2ccc(cc12)c1cc(Br)ccc1OCCN(C
O(CC)C/C=C\C=C\C1OC(=O)NC1	CCCOc1cc(ccc1OC)C1(C)CNC(=O)O1	CC[C@c11(NC(=O)c2cccccccOOO)cc
c1ncc(cc1)CNCCCOC/C=C\C=C\O/C(=C\C)/C(=O)CNC=C	Cc1c(oc2cccc(OCCCNCc3cccnc3)c12)C(=O)c1nccn1C	O=C(Nc1c[nH]c2cc(Oc3ccccc3c2)c1=O)c1ccc(cc1Cl)C(=O)N
CCCC(C)(CCCCCC(=C)CC/C=C\C(=O)C)C	C[C@]12CC[C@H]3[C@@H](CC(=C)C4=CC(=O)C=C[C@]34C)[C@@H]1CCC2=O	C/C(=C\C(=O)O)/C=C/[C@@H]1CC==CCC[C@@H]1c1ccc2((CCCCCCCCCCCCCCCCCCCC2)
C(C)/C=C(/C(=C\C(=C)C(C)C)/C(C)C)\S=O	CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)O	CC(C)c1c((CCC(C)C)c(c(ccc))cc))))))
C=C(/C=C(\C(=C)CO/C(=C/C=C)/CC(=O)C)/O)O	Oc1ccc(c(O)c1)c1oc2cc(O)cc(O)c2c(=O)c1O	Oc1ccc(cc1)c1coc2cc(O)cc(O)c2c1=O
C=C(Cl)/C=C/c1ccc(c(c1CO)CC)NC(C)C	CC1Oc2ccc(Cl)cc2-c2ccc3NC(C)(C)C=C(C)c3c12	CC1(C)N=C(N)c(CN)c(c1C)c1ccccc1Cl
C(=O)(NC(=NCCCC(C(=O)N([C@H](C(=O)O)CC(=C)C=C)C)NC)N)NC	CNC(=O)NC(=NCCC[C@H](NC(=O)C)C(=O)N(C)[C@@H](Cc1ccccc1)C(=O)O)N	CN1CC[C@@H](CN(C)C)C(=O)N(C)C(CcCCCCCCCCCCCCCCCCCCCC)CC)C)Cc)C)C
C(=C\C=C\C(c1ccccc1)(/C=C/C=C(/Cl)\C=C)SCCC)\C=C	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O	CC1=cccccccccccccccccccccccccccccccccccccccccccccc
c1cc(NC(=S)N(Cc2cc3c([nH]c2=O)cccc3)CC)ccc1O	Cc1cc(C)c2[nH]c(=O)c(CN(CCO)C(=S)Nc3ccc(O)cc3)cc2c1	CC(=O)N1CCc2c([nH]cCC(ccccccccccccccccccccccccccccccccccc
FC(C/C=C\C(=C)NC(=O)NC1CCN(CC1)CC)F	CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F	FC1(Cc2ccc(ccc()NC((CCCCCCCCcccccccFF)F))F)FF)F
C/C=C\C=C/CN/N=C\C=C\NCc1c2ncccn2nc1	Cc1cc(NC(=O)c2cnn3cccnc23)n(n1)c1ccccc1	Cc1ccccc1Nc1nc(nc2c(NCC3ccnccccccccccc
C(=C\N/N=C\CC=NN(C)CCN(C)Cc1ccccc1)/C=C\C	Cc1nn(c(C)c1C=NN1CCN(Cc2ccccc2)CC1)c1ccccc1	CN1CCN(CC1)c1cncc(CCc2cc(ccc1cccccccccccccccccccccc
c1(cc(O)cc2OC(=CCc12)C(=C)/C=C\C)O	Oc1ccc(cc1)c1cc(=O)c2c(O)cc(O)cc2o1	Oc1ccc(cc1)c1cc(cccccccccccccccccccc
F/C=C/C(=C\C(=C)F)/N(C(=C)/C=C/C(=N\C(=N)N)/N)C	CN(c1cnc2nc(N)nc(N)c2c1)c1cc(F)c(F)c(F)c1	Cc1nc(cn1Cc1c(F)cccc1F)c1ccnc(N)n1
c1ccc(cc1)COC(=O)NCCc1ccc(OCCCCCCCNC)cc1	OC(=O)[C@H](Cc1ccc(OCCCCC2CCNCC2)cc1)NC(=O)OCc1ccccc1	OC(=O)[C@H](Cc1ccc(OCCCCC2CCNCC2)cc1)NC(=O)OCc1ccccc1
c1c(ccc(C#N)c1)COC/C=C\C/C=C\CS(=O)(=O)N[C@@H](C(=O)O)CCC(=O)O	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2ccc(OCc3ccc(cc3)C#N)cc2c1)C(=O)O	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2cc(OCc3ccc(cc3F)C#N)ccc2c1)C(=O)O
C(=C\C)(/CCO)\C(=C)NC(=C)/C(=C\C=C)/Cl	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl	OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
C(=C\CNC(=O)C(C#N)C(=O)C)\C/C=C/C=C\C=C	O=C(Nc1ccc(cc1)c1ccccc1)C(C#N)C(=O)C1CC1	OC(=O)C1Cccccccccc(c(CCCCCCCCCCCCCCCCCCCCCCCCC
Clc1ccc(c2nc(cnc2)/C(=C\C)/CN)cc1	NC(=O)c1cccc2ncc(nc12)c1ccc(Cl)cc1	Cc1cc2nc(c3nccs3)n(c3ccc(cccccccccccc
c12OCCOc1c(sc2)c1cncc(c2ccccc2)c1	NC(=O)c1ccc(cc1)c1cc(cnc1N)c1scc2OCCOc12	CC(=O)c1cccc(c1)c1cc2ccccc2ccccccccccccccccc
c1c(C)cccc1c1nc(sc1)Nc1ccc(CO)cc1	Cc1cc(ccc1F)c1csc(Nc2ccc(C(=O)O)c(O)c2)n1	CC(=O)c1cccc(ccccccccccccccccccccccccccc
O=C(N)c1nn(c2c1CC/C(=C/N)/C/2=N\CNc1cc(ccc1OCF)N1CCNCC1)CCO	CN1CCN(CC1)c1ccc(OC(F)(F)F)c(Nc2ncc3CCc4c(nn(CCO)c4-c3n2)C(=O)N)c1	Nc1nc(N)c2nc(CN3CC(O)C(C)(C)O)c(C)c3c(=O)n(C)c2cc1OC
C(F)(F)c1ccccc1CNC(=O)CCCNc1nc(nc(n1)N)C	CNc1nc(C)nc(n1)N1CCC(CC1)C(=O)NCc1ccccc1C(F)(F)F	Cc1nc(Nc2ccc(C(=O)CC(NCCCC)(ccc)ccccccccccccccccccc
O1[C@H](CO)C[C@H](O)[C@H]([C@@H]1NC(=O)NC(=O)/C(=C/C=C/C)/C)O	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccc(Cl)cc2)[C@H](O)[C@@H](O)[C@@H]1O
c1cccc2[nH]c(cc12)C(=C)/C(=C/OCCCCC)/O	NC(=[NH2+])c1ccc2[nH]c(cc2c1)c1cccc(OC2CCCC2)c1[O-]	NC(=O)c1cccc2ccccccccccccccccccccccccccc
N1=C(OC[C@@H]1C)/C(=C/C(=C/OC)/OC)/C=C/CCC	CCCc1cc(cc(OC)c1OC)C1=N[C@H](CO1)C(=O)NO	CCCCCc1ccc2(c(ccCCCCCCCCccccccccccccc
[C@@H](C(=O)O)(CCCO)NC(=O)/C(=C/C)/C=C\CSc1c(sc2nc[nH]c(=O)c12)C	Cc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Cc1sc2nc(N)[nH]c(=O)c2c1Sc1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O
O=C(O)COC/C(=C(/CCC)\C(=C)Sc1ccc(cc1OCC#CC)COc1ccc(C(F)(F)F)cc1)/C	CCC#CCOc1cc(COc2ccc(cc2)C(F)(F)F)ccc1Sc1ccc(OCC(=O)O)c2CCCCc12	CCC#CCOc1cc(Cc2cc(ccccc(cccccccccccccccc((c))(())))())()O(OCCCCCCCCCCC
C(=N)(NC(=O)c1c[nH]c(c1)CCCCCCCN[C@H](C)CCCO)N	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	N[CnH][C@H]1CCC[C@@H](CNc2ccc(cn2)C(=O)N)C1
[C@H](CCC)(O)CNC(=S)Nc1ccc(cc1)F	OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)CN1C(=S)Nc1ccc(F)cc1	CC(@)c1ccc((ccc(C(=CCccccccccccccc)(cc)c()F)c
n1cc(ccc1)S(=O)(=O)N(C)CCNc1ccc(cc1)S(=O)(=O)NC	CNS(=O)(=O)c1ccc(cc1)N1CCN(C[C@@H]1C#CC)S(=O)(=O)c1ccc(N)nc1	CNC(=O)c1ccc(cc1cN1CCN(CC1)S(=O)(=O)c1ccc(O)cc1))S(=cc1)c1c
c1cc(cc(c1)CN(CC)CC)N/C(=C/C)/c1c(N)cccc1	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	CCN(CC(=O)C)c1ccc(Nc2Nccc(cccccccccccccccccccc
SC(=C)/C=C\C=C\Nc1ncc(C#N)c(c2c(C)ncs2)n1	CNc1nc(C)c(s1)c1nc(Nc2cccc(c2)S(=O)(=O)N)ncc1C#N	Cc1nc(C(=O)N2Cc1nccc(cccccccccccccccccccccc
Clc1ccc(cc1)/C=C(\C)/C(=N\c1[nH]cc(n1)CNCCOCC)/C	Cc1nc2nc(cn2c(c1CN)c1ccc(Cl)cc1Cl)C(=O)N1CCOCC1	COCCNC(=O)c1ccc2n(CCOC)c(nc2c1)c1cnc([nH]1)c1ccc(Cl)cc1
O=C(C)/C=C/C=C\CC(/C=C/C)(C(=C)/C=C\C)SCCN	CC(=O)c1cccc(c1)C(SCCN)(c1ccccc1)c1ccccc1	CC(=O)c1cccc(c1)C(SCCN)(c1ccccc1)c1ccccc1
Cl/C(=C/C)/C(=C\COCCC(=O)Nc1ccc(c(c1)C(F)F)C#N)/F	C[C@](O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F	CC(O)(COc1ccc(Cl)c(F)c1)C(=O)Nc1ccc(C#N)c(c1)C(F)(F)F
N(C=O)(O)[C@@H](CCCc1ncccn1)CSN1CCN(CC1)/C=C/C=C(\C)/Br	ON(C=O)[C@@H](CCCc1ncccn1)CS(=O)(=O)N1CCN(CC1)c1ccc(Br)cn1	OC(Cn1c2cc(Br)c(O)c(CN)c2(C)c1C)c(=O)[nH]c1=Occccccccc)c)))
OC[C@@H]([C@@H](CO)OCn1c(=O)[nH]c(=O)cc1)O	OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(=O)(O)O)n1ccc(=O)[nH]c1=O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1cc(CO)[[OOOO]c]]]cO]]cOO]]
[C@@H]1([C@H](O)[C@H](O)[C@@H](CN(C)C)O1)n1c(nc2cncnc12)C	CN(CCC(=O)N)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	CN(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12)CC(=O)N
C=C(C)/N=C(\C=C)/C/N=C(\C=C\N/C=C/C=N)/C=C\C=C	Cc1cccc(n1)c1nc(Nc2ccncc2)c2ccccc2n1	Nc1nccc(cccccccccccccccccccccccccccc
c1(C)c(CN(C2CN(CC2)S(=O)(=O)C)c2ccc(cc2)C)cccc1	Cc1ccccc1CN([C@H]1CCN(C1)S(=O)(=O)C)c1ccc(C#N)c(Cl)c1	Cc1ccc(cc1)C(N1CCN(CC1)C(=O)C)S(=O)(=O)Cc1ccccc1
C=C/C=C/N(c1ccc(cc1)Cl)CC(CNC)CC/C=C/C=C	Clc1ccc(cc1)N(C[C@@H]1CNC[C@H]1Cc1ccccc1)c1ccccc1	Clc1ccc(cc1)N(C[C@@H]1CNC[C@H]1Cc1ccccc1)c1ccccc1
OC(=O)/C(=C/C=C/NCC/C=C\C=C\C)/CO	Cc1cccc2C(=O)N(C(=O)c12)c1ccc(C(=O)O)c(O)c1	OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F
c1c(ccc(c1)C(=O)O)N1C(=O)C/C(=C\C=C/CC1)/C	Cc1cccc2C(=O)N(C(=O)c12)c1ccc(C(=O)O)c(O)c1	OC(=O)c1c((ccccccccccccccccccccccccccccccc
C=C/C=C/CN(C(=O)C1C[C@@H](CNC1)NC(=O)OC(C)(C)C)C1CC1	CC(C)(C)OC(=O)N[C@@H]1CNC[C@@H](C1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1	CC(C)(C)OC(=O)N[C@@H]1CNC[C@@H](C1)C(=O)N(Cc1cccc(Cl)c1Cl)C1CC1
c1(NC/C(=C/C)/C)nc2c(cc1)ncnc2NC(=C)/C=C\C(=C)N(CC)C	C(Nc1ccc2ncnc(Nc3ccc(cc3)N3CCOCC3)c2n1)c1cccnc1	CN(C)c1ccccc1CNc1ccc(cn1)C(=O)Nc1ccCCcccccccccccc
C\1(=C/C)/C(=N)C=CC=C1N(=O)O	Oc1ccc([N+](=O)[O-])c2cccnc12	OC(=O)c1ccc(cc1ccccccccccccccc[[[[)][[
OC(=O)/C(=C/C=C/OC1CC[C@H](CC1)NCNC12CCCC(CCC2)C1)/C	OC(=O)c1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1	OC(=O)c1ccc(O[C@H]2CC[C@@H](CC2)NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1
COC(=C)/C(=C\C(=C)C/C=C/N/N=C/c1ccc(cc1)C#N)/OCCCN	COc1cc2-c3c(Cc2cc1OCCCN1CCOCC1)c(n[nH]3)c1ccc(cc1)C#N	OC(c1ccncc1)c1cccc(CNc2cCCCccccccccccccccccccccccCcc
c1c2c(ncc1)n(cn2)CCCN/C(=N/C)/S/C=C/C	COc1nc2cccnc2n1[C@H]1C[C@@H](C1)Nc1nc2ccccc2s1	Cc1nc(C(=O)N2CCC[C@H]2Cc2nnc(o2)c2ccccc2)c(s1)c1ccccc1F
Nc1cc(nc(n1)N)/N=C\CCN/C(=C/C=C)/C/C=C\C(=C)C=C	Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4ccccc34)cnc2n1	Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4ccccc34)cnc2n1
C(=C)C(=O)N/C(=C/C=C/N=C\N=C\N/C(=C/C(=C)Br)/C)/C	Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1	CN(C)C/C=C/C(=O)Nc1ccc2c(cccccccccccccccccccccc
c1ccc(cc1/C(=C(/C)\C=C\c1ccccc1)/CC)F	CC1=C(CC(=O)O)c2cc(F)ccc2/C/1=C\c1ccc(cc1)S(=O)C	CC/C(=C(\c1ccc(O)cc1)/c1ccc(OCCN(C)C)cc1)/c1ccccc1
NC(=N)C/N=C\N(C)CC[C@@H](O)C=O	Nc1ncnc2n(C[C@@H](O)[C@@H](O)C(=O)O)cnc12	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
O/C(=C\1/CC=CC=C1)/CC(=O)/C=C/C(=C/C=C\C)/C	O=c1cc(oc2c3ccccc3ccc12)c1ccccc1	Oc1ccc(cc1)c1cccccccccccccccccccccccc
CN(S(=O)(=O)C)CCN(c1ccc(C#N)cc1)C/C(=C/C)/CC	Cc1ccccc1CN([C@H]1CCN(C1)S(=O)(=O)C)c1ccc(C#N)c(Cl)c1	CC(=ccC((c(CCCCcccccccccccccccccccccccc))c))c))c))))
NC/N=C\C=C\C/N=C\NC/C=C(/C=C\C=C\Cl)\Cl	Cc1nc(cn1Cc1c(Cl)cccc1Cl)c1ccnc(N)n1	Nc1nc2cccc(c3ccccc3cclccccccccccccccc
c1cc(ccc1)CN(/C=C/NS(=O)(=O)/C(=C/C)/C=C\C)C(=O)N	Nc1c(NS(=O)(=O)c2ccccc2)c(=O)[nH]c(=O)n1Cc1ccccc1	CN(c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O)S(=O)(=O)c1ccccc1
C(=C(\CF)/C(=C)NN=C(C)C(=N)N)/C=C	FC(F)(F)c1ccccc1NN=C1C(=N)N=NC1=N	CC(=NNC(=O)c1cc(F)ccc1Cl)c1ccc(cn1)Ccccccc
[C@@H](C(C)C)(NC(=O)CCC(=C)C=C)P(O)CC(CCCCC)C(=O)O	CC(C)[C@H](NC(=O)CCc1ccccc1)P(=O)(O)C[C@@H](CCCCCN)C(=O)O	CCCCCCCCCC(=O)CC(=O))))cccc((C(CCCCCCCCCCCCCCCCC)CC)))
FC(F)(CN(/C(=C/C)/C=C/C(=C\C(=O)N)/C(F)F)CCF)F	FC(F)(F)CN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(c2c1)C(F)(F)F	NC(=O)C1@CCccccc((c((F(FFF)(F)F)FFF)cFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF
[C@H]([C@@H](O)[C@@H](O)NC(=O)C(=O)Nc1ccccn1)(O)C	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O
C=C(C(=C)C(=O)NCC/C=C/C=C\C=C\C=C/C)C	C[C@@H](NC(=O)c1cc(N)ccc1C)c1cccc2ccccc12	OC(=O)c1cccccc1C(=O)c1ccc(F)cc1
c1ccc(cc1)CNCCCCC(C)CC(=C)/C=C(/OC)\COC	COc1cc2C[C@@H](CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	COc1cc2C[C@@H](CC3CCN(cc4cccccccccccccccccccccccc
C(=C(\C)/NC(=N)c1ccc(cc1)OCC1CCN(CC1)C/C=C/C=C\C)\C(=C/C)\C	NC(=O)c1ccc2nc([nH]c2c1)c1ccc(OCC2CCN(Cc3ccccc3)CC2)cc1	FC1CC((OC1)NC(=O)c1ccc(OCCC2CCNCC2)cc1)NC(=O)c1ccccccccccccccc
c1c(cccc1)/C=C/NC(=O)C1=CC=CC/C/1=C\C(=C/C)\c1cn[nH]c1	NCCCc1cc2c(c[nH]c(=O)c2c2cc(ccc12)c1cn[nH]c1)c1cccc(O)c1	Cc1cccc[nccccccccccccccccccccccccccccccccccccccccccccc
N(C(=O)CNCCNC/N=C\N=C(\c1sc2c(cccc2)c1)/C)(C)C	O=C(CN1CCN(CC1)c1cc(ncn1)c1cc2ccccc2s1)N1CCCC1	CN1CCN(CC1)c1ccccc1CNc1ccc(cn1)C(=O)N
c1c(cccc1)C1=NC(C(=Nc2c1cccc2)NCCO)/C=C/C=C	OC1CN(C1)C1=Nc2ccccc2C(=NC1c1cccs1)c1ccccc1	OC1Cc((cccccccccccccccccccccccccccccccccccccccc
C(NCCNc1ccccc1NC(=O)/C(=C/SC/C(=C/C)/C=C/C)/N)C	O=C(Nc1ccccc1N1CCNCC1)c1csc(n1)c1ccc2OCCc2c1	CC1CC(ccccccccccccccccccccccccccccccccccccccc
C(NC)CNCC/C(=N\C=C\C=C/1\C(=C/S)\OCCO1)/N	CN(C)CCNC(=O)c1cc(cnc1N)c1scc2OCCOc12	CN(C)CCNC(=O)c1cc(cnc1N)c1scc2OCCOc12
C(c1cc(cc(c1)NC(=O)c1cc(c(cc1)C)Nc1ncccc1C(=C)N=C)C(F)F)CCN(C)C	CN(C)CCCc1cc(NC(=O)c2ccc(C)c(Nc3ncccc3c3ccncn3)c2)cc(c1)C(F)(F)F	CN1CCN(CC1)c1ccc(cc1C(F)(F)F)c1ccc(ccccccccccccccccccccccccccccccc
Cl/C=C/C=C(/c1cn(c(n1)CNC1CNCCC1)/C=N\C)\C	NC(=O)c1ncc(N[C@H]2CCCNC2)c2nc(cn12)c1ccc(Cl)cc1	Cc1ncc(cn1Cc1c(Cl)cccc1Cl)c1ccnc(N)n1
C/C(=C\C=C\C=C\C=N/C=C/NC)/O	COc1ccc2c(c1)[nH]c1c(C)nccc21	COc1cc2ncc3c(N)nc(cc3c2cc1c1cccccccc
CCSC(c1ccccc1)(/C(=C/CCC)/C=C)c1ccccc1	CCc1cccc(c1)C(SCCN)(c1ccccc1)c1cccc(O)c1	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
C(CN(Cc1ccccc1)S(=O)(=O)C/C=N\CNC1CCN(CC1)S(=O)(=O)C)(C)C	CC(C)CN(Cc1ccc(F)cc1)S(=O)(=O)c1ccc(NC2CCN(CC2)S(=O)(=O)C)nc1	CC(C)(C)Nc1nc(N)c(N=CCc2cc(cccc(cc))())SC)(C)SC))))))c)c)ccccc)c
C(=C)(F)/C=C(/S(=O)(=O)c1ccc(cc1)CNC(=O)/C=C/N/C=C\C=C)\C	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccc3cccn3c2)cc1	Fc1cc(F)cc(c1)S(=O)(=O)c1ccc(CNC(=O)c2ccc3cccn3c2)cc1
C(CCCOC/C=C(\COC)/Cc1cnc(nc1)N)C(=O)O	COc1ccc(OCCCCC(=O)O)cc1Cc1cnc(N)nc1N	COc1ccccc1COCCCOc1ccc(cc1)N1[C@H](COc2ccC3CCcccc))CCO
C1C(COC(CN)CNC/N=C\C=C\C=C/CN)CCCC1	Cc1cc2ccnc(N[C@@H]3CCNC[C@H]3OCC3CCCCC3)c2[nH]c1=O	CC11CC(CC1)NCCc1cc(ccccccccccccccCCCCCCCCCCCCC
c1(ccccc1)Cc1c(oc2c(c1=O)ccc(c2)Cl)[C@@H](C)N(CCCN)C(=O)c1ccc(cc1)C	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1	CC(C)[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)c1oc2cc(Cl)ccc2c(=O)c1Cc1ccccc1
C=C/C=C(\C=C)/c1nc(CN/C(=C\c2cccnc2/C=C/C=C\C(=C\C)\C)/C)no1	OC(=O)c1cc2c(nccc2n1Cc1noc(n1)c1ccccc1)c1cccc2ccccc12	Cc1cccc(n1)c1nc(Nc2ccncc2)c2ccccc2n1
c1cc(ccc1)CCCCNC(=N)/C=C\CNCC(=C)/N=C\C	Fc1cccc(c1)[C@H]1CCCN1c1ccc2ncc(c3ccccn3)n2n1	O=C(Nc1ccccc1)C1CNc2ccc(cn2)C(=O)N1
[C@@H](O)(CO)C[C@H](O)[C@@H](O)C/C(=C/C)/C(=C\C)/O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(Br)cc1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(Cl)cc1O
c1cc(cc(c1O)CN[C@H](C)/C=C/C=C)F	C[C@@H](NC(=O)c1cc(F)ccc1O)c1ccc(Br)cc1	C[C@@H](NC(=O)c1cc(F)ccc1O)c1ccc(Br)cc1
O(CCO)C(=C)/C(=C(\S)/c1cc(NCC(=C)/C=C\C=C)ccc1)/Br	OC(=O)COc1c(Br)c(sc1C(=O)O)c1cccc(NCc2ccccc2)c1	OC(=O)COc1c(Br)c(sc1C(=O)O)c1cccc(NCc2ccccc2)c1
C(=O)(N[C@@H](CCC(=O)O)C(=O)O)c1cc(CCCc2[nH]cc(C)c2)sc1	Nc1nc2[nH]c(CCCc3cc(cs3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Cc1ccc(cc1)C(=O)NC(=O)Nc1c(ccccccccCCCCCCCCCCCCC)O))OO)O)OOO
c1c(O)c(C(=O)N[C@H](C=O)C)nc(c1C=C)Cl	C[C@H](NC(=O)c1nc(Cl)c2ccccc2c1O)C(=O)O	CC(=O)C1=C(C@()N(C((N)N)cCcccccccccccccccccccc
CCNS(=O)c1c(Br)ccc(c1)CNc1c(cccc1)C=O	CCN(CC)S(=O)(=O)c1cc(ccc1Br)C(=O)Nc1ccccc1C(=O)O	OC(=O)C(=O)N(Cc1ccc(Br)cc1)c1ccc(cccccccccccccccc
N/C(=N/C)/C=C\NC1C[C@@H]([C@H](O1)CO)OP(O)O	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](OP(=O)(O)O)[C@H]2O)c(=O)n1	Nc1ncnc2n(cnc12)[C@@H]1C[C@H](O)[C@@H](O)[C@H]1O
c1ccccc1CCCCCCC(=O)N[C@@H](CCC(=O)O)CS/C=C/C=C(\C)/CC(=C)C=C	OC(=O)CC[C@@H](CSc1ccc(Cc2ccccc2)cc1)NC(=O)CCCCCCc1ccccc1	OC(=O)CC[C@@H](CSc1ccc(Cc2ccccc2)cc1)NC(=O)CCCCCc1ccccc1
C1N(CSC1)CC1NC[C@H](C1)N(CC)CCCc1n(nc(c1)C(F)F)C(=C)C	FC(F)(F)c1cc(C2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1	FC(F)(F)c1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)c2ccccc2n1
c1(c2cccc(c2O)OC2CCCCC2)ncccccc[nH]1	C[C@H]1CCCC[C@@H]1Oc1cccc(c2nc3cc(C(=[NH2+])N)c(F)cc3[nH]2)c1[O-]	Cc1cc(cc2nc([nH]c12)c1c(Nccccccccccccccccccccc
n1c(c(N)ccc1)SCNc1cc(CNCCO)nc(n1)NC1CN(C(=O)C=C)CC1	C=CC(=O)N1CC[C@@H](C1)Nc1nc(CN2CCOCC2)cc(Nc2nc3cccnc3s2)n1	O=C(Nc1cccnc1)N1CCN(CC1)c1nc(ns1)c1ccccc1CcC)CCCcccCcccccc
C/C=C(/C=C\CO)\NS(=O)c1ccc(OC)cc1	COc1ccc(cc1)S(=O)(=O)Nc1c(C)cc(O)cc1C	COc1ccc(cc1)S(=O)(=O)N(CO)Cc1ccc(ccc
O1[C@H]([C@@H](C[C@@H]([C@H]1C)O)O)NC(=O)C(=O)Nc1cc2ccccc2cc1	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccc3ccccc3c2)[C@H](O)[C@@H](O)[C@@H]1O
C(=O)N/C(=C/C(=C\C)/C(=O)N)/C	NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1	NC(=O)c1cccc(NC(=O)/C=C\C(=O)O)c1
C(=C\CC1(C#N)CCCCC1)(/OC1CCCC1)\C=C/C	COc1ccc(cc1OC1CCCC1)[C@]1(CC[C@@H](CC1)C(=O)O)C#N	COc1ccc(cc1OC1CCCC1)C1(CCC(CC1)C(CCCCCCCCCCCCCCCCCCCCCC
ClC/C=C\CCNC(=O)C/C(=N\O)/N	Nc1nonc1C(=O)NCc1ccc(Cl)cc1	Cc1noc(C)c1Cn1cc(C#N)c2cc(ccc12)C(=O)N1CCOCC1
C(C)CN/C=C/C(=O)NC(=N)[C@@H](C)N1CC(C1)/C(=N/C)/N=C	C[C@@H](N1CC(C1)c1ncccn1)c1nc2n(ncc2c(=O)[nH]1)C1CCCC1	C[C@@H](N1CC(C1)c1ncccn1)c1nc2n(ncc2c(=O)[nH]1)C1CCCC1
